open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1640991600000,1.30800000,1.31500000,1.30800000,1.31200000,878519.10000000,1640993399999,1152445.70110000,1609,468424.10000000,614536.71740000,0
1640993400000,1.31200000,1.31600000,1.30600000,1.30800000,1421328.70000000,1640995199999,1862647.52880000,2070,698153.70000000,915136.26090000,0
1640995200000,1.30800000,1.32200000,1.30700000,1.32000000,2465697.00000000,1640996999999,3245021.06860000,3844,1477319.30000000,1943894.72130000,0
1640997000000,1.32000000,1.33400000,1.31800000,1.33100000,1810342.20000000,1640998799999,2401563.09480000,5412,1056832.30000000,1402153.75060000,0
1640998800000,1.33000000,1.33800000,1.32600000,1.33300000,1802694.40000000,1641000599999,2402517.13680000,3783,1100195.30000000,1467011.48300000,0
1641000600000,1.33400000,1.33700000,1.32700000,1.32800000,1025464.70000000,1641002399999,1365721.91860000,2168,432616.90000000,576299.74220000,0
1641002400000,1.32800000,1.33400000,1.32700000,1.32900000,798874.40000000,1641004199999,1063533.42300000,1793,401018.80000000,533911.22070000,0
1641004200000,1.32800000,1.33000000,1.32400000,1.32600000,757230.60000000,1641005999999,1005148.71260000,1859,419622.10000000,557074.24110000,0
1641006000000,1.32500000,1.32900000,1.32400000,1.32700000,754950.30000000,1641007799999,1001374.48330000,1440,426232.40000000,565460.27640000,0
1641007800000,1.32700000,1.33000000,1.32400000,1.32500000,923305.00000000,1641009599999,1225996.89160000,1515,528790.40000000,702339.97330000,0
1641009600000,1.32500000,1.32700000,1.31400000,1.31800000,1399486.50000000,1641011399999,1846329.66200000,3595,553444.50000000,730113.08890000,0
1641011400000,1.31800000,1.31800000,1.30600000,1.30900000,1272365.60000000,1641013199999,1670502.39260000,3848,609234.00000000,799748.19990000,0
1641013200000,1.30900000,1.33400000,1.30800000,1.32800000,2176532.50000000,1641014999999,2877803.46560000,5947,1315694.20000000,1738451.72520000,0
1641015000000,1.32900000,1.33800000,1.32400000,1.32600000,1941480.10000000,1641016799999,2585319.17370000,4468,918912.00000000,1223982.63270000,0
1641016800000,1.32700000,1.32900000,1.31800000,1.31800000,1855439.80000000,1641018599999,2455722.15200000,3121,746198.60000000,987525.25630000,0
1641018600000,1.31800000,1.32400000,1.31600000,1.31700000,1269275.00000000,1641020399999,1674955.79150000,2610,747473.70000000,986674.58350000,0
