open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1640991600000,511.50000000,514.40000000,511.40000000,512.50000000,7744.54800000,1640993399999,3974017.55080000,4774,3155.79700000,1619219.65910000,0
1640993400000,512.60000000,514.10000000,510.70000000,511.40000000,7636.75200000,1640995199999,3914445.02880000,5335,3709.87300000,1901738.82010000,0
1640995200000,511.50000000,514.40000000,511.40000000,514.20000000,8346.37600000,1640996999999,4284509.75530000,6065,4137.73200000,2123810.96800000,0
1640997000000,514.20000000,517.80000000,513.90000000,517.30000000,14191.56900000,1640998799999,7322098.07870000,7797,8012.88500000,4133508.48070000,0
1640998800000,517.30000000,520.00000000,516.20000000,519.10000000,10830.97100000,1641000599999,5614812.69400000,7701,4735.68600000,2454737.79810000,0
1641000600000,519.20000000,519.80000000,516.70000000,517.20000000,9027.27500000,1641002399999,4677516.90630000,6234,4094.03900000,2121307.80780000,0
1641002400000,517.20000000,519.30000000,517.10000000,518.30000000,5718.53300000,1641004199999,2964696.06330000,4876,2923.45900000,1515605.36990000,0
1641004200000,518.30000000,518.70000000,517.30000000,517.80000000,4491.14000000,1641005999999,2326501.42530000,3784,2051.78700000,1062871.15660000,0
1641006000000,517.80000000,518.50000000,517.30000000,518.00000000,5234.65600000,1641007799999,2711006.66160000,3947,2447.10200000,1267466.94650000,0
1641007800000,518.10000000,518.80000000,517.60000000,518.10000000,4738.67000000,1641009599999,2456144.44410000,5734,2576.49800000,1335513.86360000,0
1641009600000,518.10000000,518.50000000,515.60000000,516.70000000,6919.00600000,1641011399999,3576399.63930000,5336,3057.64400000,1580478.97190000,0
1641011400000,516.70000000,517.20000000,514.80000000,515.00000000,6436.02800000,1641013199999,3322442.38400000,4622,2881.04200000,1487315.36040000,0
1641013200000,515.00000000,520.50000000,514.50000000,520.30000000,12504.49100000,1641014999999,6475005.45400000,7466,7408.47700000,3835569.06060000,0
1641015000000,520.30000000,521.80000000,517.40000000,518.00000000,10650.52200000,1641016799999,5534010.92990000,7321,5462.46600000,2837814.04850000,0
1641016800000,518.10000000,519.00000000,516.30000000,516.30000000,14248.94500000,1641018599999,7380957.73370000,5876,6549.46700000,3392186.53510000,0
1641018600000,516.40000000,516.70000000,514.70000000,515.10000000,8228.75900000,1641020399999,4243900.65470000,5952,4538.47500000,2340717.76230000,0
1641020400000,515.10000000,515.70000000,513.70000000,513.80000000,11165.96500000,1641022199999,5746345.04070000,5932,5041.34800000,2594271.71400000,0
1641022200000,513.80000000,516.60000000,513.70000000,515.80000000,12050.70000000,1641023999999,6206968.58150000,6328,7386.47300000,3802946.63720000,0
1641024000000,515.90000000,517.10000000,514.90000000,516.70000000,9302.91800000,1641025799999,4801785.15900000,5962,4815.59400000,2485360.09950000,0
1641025800000,516.70000000,516.90000000,515.20000000,516.10000000,6824.93900000,1641027599999,3522419.15230000,5409,3612.64400000,1864484.49470000,0
1641027600000,516.10000000,517.20000000,515.60000000,516.20000000,7940.60500000,1641029399999,4101702.29200000,6643,4137.53800000,2137319.17020000,0
