open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1640991600000,0.82490000,0.83210000,0.82480000,0.83090000,2992931.00000000,1640993399999,2483121.85930000,2953,1623423.00000000,1346759.98330000,0
1640993400000,0.83100000,0.84700000,0.82840000,0.82970000,8911448.00000000,1640995199999,7430769.23530000,10549,5414127.00000000,4517430.10650000,0
1640995200000,0.82980000,0.83640000,0.82970000,0.83360000,3414487.00000000,1640996999999,2845472.98730000,4304,1531981.00000000,1276591.74190000,0
1640997000000,0.83350000,0.84000000,0.83310000,0.83950000,2741913.00000000,1640998799999,2297020.26840000,3281,1311929.00000000,1099187.21600000,0
1640998800000,0.83960000,0.85280000,0.83200000,0.84370000,11518898.00000000,1641000599999,9713575.55780000,16214,5846598.00000000,4934122.64630000,0
1641000600000,0.84380000,0.84600000,0.83820000,0.83960000,4393928.00000000,1641002399999,3701198.46100000,4759,2120764.00000000,1786850.50650000,0
1641002400000,0.83960000,0.84320000,0.83920000,0.84230000,2340925.00000000,1641004199999,1970434.74960000,3138,1480262.00000000,1245908.76700000,0
1641004200000,0.84230000,0.84450000,0.83920000,0.84250000,2137963.00000000,1641005999999,1800221.79880000,2639,1177013.00000000,991048.90480000,0
1641006000000,0.84260000,0.84570000,0.84220000,0.84220000,2081402.00000000,1641007799999,1755833.35490000,2536,1086585.00000000,916638.69520000,0
1641007800000,0.84220000,0.84350000,0.84040000,0.84100000,3149375.00000000,1641009599999,2652565.33540000,2747,1337794.00000000,1127013.84440000,0
1641009600000,0.84100000,0.84300000,0.83600000,0.83770000,2839867.00000000,1641011399999,2383555.34570000,3510,1291245.00000000,1083353.33420000,0
1641011400000,0.83770000,0.83810000,0.83460000,0.83460000,2528868.00000000,1641013199999,2115686.60980000,2528,977957.00000000,818000.24510000,0
1641013200000,0.83460000,0.84540000,0.83450000,0.84390000,3060673.00000000,1641014999999,2569605.29370000,4135,1990022.00000000,1671060.58270000,0
1641015000000,0.84380000,0.84650000,0.84020000,0.84210000,3106081.00000000,1641016799999,2620698.72450000,3992,1444882.00000000,1218931.07540000,0
1641016800000,0.84200000,0.84530000,0.84070000,0.84150000,2017950.00000000,1641018599999,1700650.13950000,2711,1041062.00000000,877241.98010000,0
1641018600000,0.84150000,0.84300000,0.83650000,0.83770000,7761027.00000000,1641020399999,6516422.03150000,5660,4367323.00000000,3666375.43250000,0
1641020400000,0.83770000,0.84050000,0.83630000,0.83820000,2493952.00000000,1641022199999,2091023.59980000,3027,1254788.00000000,1052151.03630000,0
1641022200000,0.83830000,0.84290000,0.83790000,0.84120000,1952630.00000000,1641023999999,1641654.48690000,2940,1126219.00000000,946887.36510000,0
1641024000000,0.84120000,0.84240000,0.83820000,0.84120000,2748026.00000000,1641025799999,2309681.50750000,3384,1354395.00000000,1138325.03010000,0
1641025800000,0.84120000,0.84200000,0.83890000,0.83940000,1533396.00000000,1641027599999,1289015.72870000,2599,881045.00000000,740641.17390000,0
1641027600000,0.83950000,0.84430000,0.83850000,0.84110000,2200063.00000000,1641029399999,1851490.36650000,3182,1399902.00000000,1178083.89200000,0
1641029400000,0.84120000,0.84250000,0.83760000,0.84250000,2299616.00000000,1641031199999,1931376.05570000,3062,1147829.00000000,964322.32370000,0
1641031200000,0.84250000,0.84440000,0.83660000,0.83700000,2614619.00000000,1641032999999,2197319.75790000,3470,1080813.00000000,908528.76600000,0
1641033000000,0.83700000,0.84200000,0.83480000,0.83850000,3196104.00000000,1641034799999,2680004.64480000,4308,1487456.00000000,1247046.71280000,0
1641034800000,0.83860000,0.84200000,0.83840000,0.84040000,1872297.00000000,1641036599999,1573355.40000000,2606,938651.00000000,788820.46540000,0
1641036600000,0.84050000,0.84150000,0.83850000,0.83880000,2748844.00000000,1641038399999,2309265.91020000,3588,1372385.00000000,1153009.55130000,0
1641038400000,0.83870000,0.84150000,0.83860000,0.84100000,1395714.00000000,1641040199999,1173143.26470000,2258,543576.00000000,456807.14560000,0
1641040200000,0.84100000,0.84440000,0.84060000,0.84250000,2731062.00000000,1641041999999,2302205.10600000,3404,1407213.00000000,1186327.42870000,0
1641042000000,0.84260000,0.84550000,0.84100000,0.84270000,3378366.00000000,1641043799999,2847403.21240000,3824,1639122.00000000,1381352.63790000,0
1641043800000,0.84260000,0.84300000,0.84020000,0.84090000,1945924.00000000,1641045599999,1637395.83130000,2601,975262.00000000,820653.58610000,0
1641045600000,0.84100000,0.84290000,0.84010000,0.84280000,1758968.00000000,1641047399999,1480284.92310000,2930,967042.00000000,813803.39580000,0
1641047400000,0.84270000,0.84340000,0.83970000,0.83990000,1740084.00000000,1641049199999,1463341.43280000,3164,934376.00000000,785695.83900000,0
1641049200000,0.83980000,0.84200000,0.83900000,0.84170000,1758312.00000000,1641050999999,1478945.59490000,2688,894974.00000000,752860.90620000,0
1641051000000,0.84180000,0.84520000,0.84070000,0.84250000,3549613.00000000,1641052799999,2992660.38090000,4245,1969918.00000000,1661098.42250000,0
1641052800000,0.84240000,0.84750000,0.84230000,0.84670000,2744791.00000000,1641054599999,2320856.90740000,4332,1446165.00000000,1222832.41660000,0
1641054600000,0.84670000,0.84760000,0.84420000,0.84480000,2326559.00000000,1641056399999,1967513.10950000,3421,973972.00000000,823806.40790000,0
1641056400000,0.84480000,0.84750000,0.84430000,0.84710000,1776139.00000000,1641058199999,1501789.03200000,3544,1021633.00000000,863958.76500000,0
1641058200000,0.84720000,0.85290000,0.84720000,0.85110000,4160800.00000000,1641059999999,3539077.15520000,7481,2545623.00000000,2164994.80920000,0
1641060000000,0.85110000,0.85230000,0.84950000,0.85060000,3068333.00000000,1641061799999,2610023.73130000,4291,1508392.00000000,1283101.72000000,0
1641061800000,0.85050000,0.85240000,0.84880000,0.85160000,2462771.00000000,1641063599999,2094170.11470000,3739,1229716.00000000,1045851.98710000,0
1641063600000,0.85160000,0.85570000,0.85010000,0.85290000,3290343.00000000,1641065399999,2805676.30530000,4736,1533106.00000000,1307282.81740000,0
1641065400000,0.85280000,0.85360000,0.84960000,0.85210000,1910409.00000000,1641067199999,1625797.37230000,2864,850418.00000000,723740.62080000,0
1641067200000,0.85220000,0.85400000,0.85130000,0.85180000,2150399.00000000,1641068999999,1833327.22170000,2553,1059690.00000000,903456.68900000,0
1641069000000,0.85180000,0.85330000,0.84560000,0.84570000,2884180.00000000,1641070799999,2448955.27200000,3593,1478924.00000000,1256047.51640000,0
1641070800000,0.84580000,0.85090000,0.84580000,0.84740000,3019605.00000000,1641072599999,2560843.87860000,3261,1835184.00000000,1556427.87080000,0
1641072600000,0.84740000,0.84830000,0.84470000,0.84600000,3348660.00000000,1641074399999,2834722.17940000,3930,1460674.00000000,1236599.59150000,0
1641074400000,0.84590000,0.84800000,0.84440000,0.84630000,1929279.00000000,1641076199999,1632304.24210000,2683,1112200.00000000,940972.86830000,0
1641076200000,0.84630000,0.84860000,0.84540000,0.84740000,2224815.00000000,1641077999999,1884546.48770000,2278,1103541.00000000,934769.51540000,0
1641078000000,0.84740000,0.84880000,0.84560000,0.84620000,1502805.00000000,1641079799999,1272872.87840000,2324,800603.00000000,678140.96650000,0
1641079800000,0.84630000,0.85070000,0.84510000,0.85070000,3165895.00000000,1641081599999,2682476.62560000,3774,1749885.00000000,1482679.80240000,0
1641081600000,0.85080000,0.85110000,0.84070000,0.84390000,4774330.00000000,1641083399999,4038306.83480000,7455,2371753.00000000,2006720.34800000,0
1641083400000,0.84390000,0.84770000,0.84350000,0.84600000,3330484.00000000,1641085199999,2817820.80590000,5019,2169564.00000000,1835691.16200000,0
1641085200000,0.84610000,0.84630000,0.84200000,0.84280000,2405088.00000000,1641086999999,2029362.32670000,3239,1193449.00000000,1007083.03790000,0
1641087000000,0.84290000,0.84380000,0.84070000,0.84240000,1973569.00000000,1641088799999,1661848.13110000,2527,1089033.00000000,917204.30970000,0
1641088800000,0.84240000,0.84400000,0.84130000,0.84190000,1398295.00000000,1641090599999,1178293.76000000,2186,704831.00000000,593922.16180000,0
1641090600000,0.84190000,0.84400000,0.84100000,0.84360000,1297576.00000000,1641092399999,1093627.77940000,2012,655005.00000000,552091.03570000,0
1641092400000,0.84350000,0.84370000,0.84190000,0.84360000,1430766.00000000,1641094199999,1206110.99700000,2103,733731.00000000,618532.37460000,0
1641094200000,0.84360000,0.84540000,0.84240000,0.84380000,1976500.00000000,1641095999999,1668217.07790000,2425,1255855.00000000,1059986.67350000,0
1641096000000,0.84380000,0.84660000,0.84350000,0.84560000,1192436.00000000,1641097799999,1007955.23630000,1965,584038.00000000,493726.61410000,0
1641097800000,0.84560000,0.84660000,0.83720000,0.83900000,4466138.00000000,1641099599999,3755064.60890000,5645,1805833.00000000,1518523.75310000,0
1641099600000,0.83910000,0.84150000,0.83810000,0.84010000,1701463.00000000,1641101399999,1429774.29410000,2796,770347.00000000,647427.36970000,0
1641101400000,0.84010000,0.84370000,0.84000000,0.84320000,1585347.00000000,1641103199999,1334555.12730000,2562,894067.00000000,752686.62000000,0
1641103200000,0.84330000,0.84420000,0.84130000,0.84240000,1523687.00000000,1641104999999,1283622.49630000,2581,724423.00000000,610376.67310000,0
1641105000000,0.84230000,0.84330000,0.84140000,0.84170000,1211683.00000000,1641106799999,1020269.00360000,2086,536533.00000000,451811.81970000,0
1641106800000,0.84170000,0.84180000,0.84010000,0.84120000,918849.00000000,1641108599999,772788.85470000,1937,378799.00000000,318616.20940000,0
1641108600000,0.84120000,0.84320000,0.84080000,0.84250000,1987999.00000000,1641110399999,1673353.94090000,2929,1131401.00000000,952407.11960000,0
1641110400000,0.84240000,0.84320000,0.83910000,0.84220000,1936110.00000000,1641112199999,1628350.95990000,3006,934789.00000000,786438.23770000,0
1641112200000,0.84230000,0.84500000,0.84150000,0.84380000,1862367.00000000,1641113999999,1570091.12220000,2781,989583.00000000,834327.84790000,0
1641114000000,0.84380000,0.84910000,0.84300000,0.84580000,2923374.00000000,1641115799999,2472240.10760000,3773,1595704.00000000,1349204.19240000,0
