date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-01-04,1,1,22,2,0.8
2020-01-05,1,0,22,3,0.76
2020-01-06,1,0,21,4,0.68
2020-01-07,1,0,21,4,0.68
2020-01-08,1,0,21,4,0.68
2020-01-09,1,0,24,1,0.92
2020-01-10,1,1,19,5,0.56
2020-01-11,1,0,20,5,0.6
2020-01-12,1,0,21,4,0.68
2020-01-13,1,2,21,2,0.76
2020-01-14,1,0,22,3,0.76
2020-01-18,1,2,21,2,0.76
2020-01-19,1,0,20,5,0.6
2020-01-20,1,1,18,6,0.48
2020-01-24,1,0,18,7,0.44
2020-01-25,1,0,18,7,0.44
2020-01-26,1,1,14,10,0.16
2020-01-27,1,0,17,8,0.36
2020-01-28,1,1,19,5,0.56
2020-01-29,1,0,23,2,0.84
2020-01-30,1,0,20,5,0.6
2020-01-31,1,0,21,4,0.68
2020-02-01,1,0,23,2,0.84
2020-02-02,1,1,21,3,0.72
2020-02-03,1,0,17,8,0.36
2020-02-04,1,0,18,7,0.44
2020-02-05,1,2,22,1,0.84
2020-02-06,1,0,21,4,0.68
2020-02-07,1,0,16,9,0.28
2020-02-08,1,0,20,5,0.6
2020-02-09,1,1,21,3,0.72
2020-02-10,1,0,21,4,0.68
2020-02-11,1,0,20,5,0.6
2020-02-12,1,0,19,6,0.52
2020-02-13,1,3,18,4,0.56
2020-02-14,1,0,16,9,0.28
2020-02-15,1,1,16,8,0.32
2020-02-16,1,0,24,1,0.92
2020-02-17,1,0,19,6,0.52
2020-02-18,1,2,23,0,0.92
2020-02-19,1,1,19,5,0.56
2020-02-20,1,2,15,8,0.28
2020-02-21,1,2,19,4,0.6
2020-02-22,1,0,22,3,0.76
2020-02-23,1,1,17,7,0.4
2020-02-24,1,0,18,7,0.44
2020-02-25,1,0,21,4,0.68
2020-02-26,1,0,24,1,0.92
2020-02-27,1,2,22,1,0.84
2020-02-28,1,3,20,2,0.72
2020-02-29,1,1,20,4,0.64
2020-03-01,1,1,21,3,0.72
2020-03-02,1,0,18,7,0.44
2020-03-03,1,4,13,8,0.2
2020-03-04,1,2,14,9,0.2
2020-03-05,1,1,19,5,0.56
2020-03-06,1,0,17,8,0.36
2020-03-07,1,1,13,11,0.08
2020-03-08,1,1,23,1,0.88
2020-03-09,1,0,23,2,0.84
2020-03-10,1,1,19,5,0.56
2020-03-12,1,1,18,6,0.48
2020-03-13,1,3,18,4,0.56
2020-03-14,1,1,21,3,0.72
2020-03-20,1,0,22,3,0.76
2020-03-25,1,0,21,4,0.68
2020-03-26,1,0,17,8,0.36
2020-03-28,1,2,22,1,0.84
2020-03-29,1,1,19,5,0.56
