date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-01-01,2,0,2,23,-0.84
2020-01-02,2,0,1,24,-0.92
2020-01-03,2,0,1,24,-0.92
2020-01-04,2,0,2,23,-0.84
2020-01-05,2,0,2,23,-0.84
2020-01-10,2,0,1,24,-0.92
2020-01-11,2,0,3,22,-0.76
2020-01-12,2,0,1,24,-0.92
2020-01-13,2,0,1,24,-0.92
2020-01-14,2,0,1,24,-0.92
2020-01-15,2,0,1,24,-0.92
2020-01-16,2,0,2,23,-0.84
2020-01-17,2,0,0,25,-1.0
2020-01-18,2,0,0,25,-1.0
2020-01-19,2,0,1,24,-0.92
2020-01-20,2,0,1,24,-0.92
2020-01-23,2,0,1,24,-0.92
2020-01-24,2,0,2,23,-0.84
2020-01-25,2,0,1,24,-0.92
2020-01-26,2,0,3,22,-0.76
2020-01-29,2,0,0,25,-1.0
2020-01-30,2,0,1,24,-0.92
2020-01-31,2,0,2,23,-0.84
2020-02-01,2,0,0,25,-1.0
2020-02-02,2,0,1,24,-0.92
2020-02-03,2,0,3,22,-0.76
2020-02-04,2,0,0,25,-1.0
2020-02-05,2,0,0,25,-1.0
2020-02-06,2,0,3,22,-0.76
2020-02-07,2,0,1,24,-0.92
2020-02-08,2,0,0,25,-1.0
2020-02-12,2,0,0,25,-1.0
2020-02-13,2,1,1,23,-0.88
2020-02-14,2,0,3,22,-0.76
2020-02-15,2,0,0,25,-1.0
2020-02-16,2,0,1,24,-0.92
2020-02-17,2,0,2,23,-0.84
2020-02-18,2,0,1,24,-0.92
2020-02-19,2,0,1,24,-0.92
2020-02-20,2,0,1,24,-0.92
2020-02-21,2,0,1,24,-0.92
2020-02-22,2,0,0,25,-1.0
2020-02-23,2,0,1,24,-0.92
2020-02-24,2,0,2,23,-0.84
2020-02-25,2,0,0,25,-1.0
2020-02-26,2,0,1,24,-0.92
2020-02-27,2,0,3,22,-0.76
2020-02-28,2,0,0,25,-1.0
2020-02-29,2,0,1,24,-0.92
2020-03-01,2,0,1,24,-0.92
2020-03-02,2,0,1,24,-0.92
2020-03-03,2,0,2,23,-0.84
2020-03-04,2,0,3,22,-0.76
2020-03-05,2,0,3,22,-0.76
2020-03-06,2,0,1,24,-0.92
2020-03-07,2,0,3,22,-0.76
2020-03-08,2,0,1,24,-0.92
2020-03-09,2,0,0,25,-1.0
2020-03-15,2,0,1,24,-0.92
2020-03-16,2,0,0,25,-1.0
2020-03-17,2,0,0,25,-1.0
2020-03-18,2,0,2,23,-0.84
2020-03-19,2,0,1,24,-0.92
2020-03-20,2,0,1,24,-0.92
2020-03-21,2,0,1,24,-0.92
2020-03-22,2,0,0,25,-1.0
2020-03-23,2,0,1,24,-0.92
2020-03-24,2,0,0,25,-1.0
2020-03-25,2,0,1,24,-0.92
2020-03-26,2,0,0,25,-1.0
2020-03-27,2,0,0,25,-1.0
2020-03-28,2,0,0,25,-1.0
2020-03-29,2,0,1,24,-0.92
2020-03-30,2,0,0,25,-1.0
2020-03-31,2,0,0,25,-1.0
2020-04-01,2,0,0,25,-1.0
2020-04-02,2,0,2,23,-0.84
2020-04-03,2,0,0,25,-1.0
2020-04-04,2,0,4,21,-0.68
2020-04-07,2,0,0,25,-1.0
2020-04-08,2,0,1,24,-0.92
2020-04-09,2,0,2,23,-0.84
2020-04-10,2,0,0,25,-1.0
2020-04-11,2,0,3,22,-0.76
2020-04-12,2,0,0,25,-1.0
2020-04-13,2,0,2,23,-0.84
2020-04-14,2,0,2,23,-0.84
2020-04-15,2,0,1,24,-0.92
2020-04-16,2,0,2,23,-0.84
2020-04-17,2,0,1,24,-0.92
2020-04-21,2,0,2,23,-0.84
2020-04-22,2,0,1,24,-0.92
2020-04-23,2,0,4,21,-0.68
2020-04-24,2,0,2,23,-0.84
2020-04-25,2,0,1,24,-0.92
2020-04-26,2,0,2,23,-0.84
2020-04-27,2,0,1,24,-0.92
2020-04-28,2,0,1,24,-0.92
2020-04-29,2,0,2,23,-0.84
2020-04-30,2,0,0,25,-1.0
2020-05-03,2,0,0,25,-1.0
2020-05-04,2,0,1,24,-0.92
2020-05-07,2,0,0,25,-1.0
2020-05-08,2,0,1,24,-0.92
2020-05-14,2,0,0,25,-1.0
2020-05-15,2,0,3,22,-0.76
2020-05-22,2,0,0,25,-1.0
2020-05-23,2,0,0,25,-1.0
2020-05-27,2,0,0,25,-1.0
2020-05-31,2,0,1,24,-0.92
2020-06-04,2,0,1,24,-0.92
2020-06-08,2,0,0,25,-1.0
2020-06-09,2,0,1,24,-0.92
2020-06-10,2,0,1,24,-0.92
2020-06-11,2,0,0,25,-1.0
2020-06-12,2,0,2,23,-0.84
2020-06-13,2,1,1,23,-0.88
2020-06-15,2,0,1,24,-0.92
2020-06-16,2,0,0,25,-1.0
2020-06-19,2,0,2,23,-0.84
2020-06-20,2,0,1,24,-0.92
2020-06-30,2,0,0,25,-1.0
2020-07-01,2,0,0,25,-1.0
2020-07-03,2,0,0,25,-1.0
2020-07-04,2,0,0,25,-1.0
2020-07-10,2,0,0,25,-1.0
2020-07-11,2,0,1,24,-0.92
2020-07-13,2,0,0,25,-1.0
2020-07-14,2,0,1,24,-0.92
2020-07-16,2,0,2,23,-0.84
2020-07-17,2,0,1,24,-0.92
2020-07-19,2,0,0,25,-1.0
2020-07-20,2,0,2,23,-0.84
2020-07-24,2,0,2,23,-0.84
2020-07-25,2,0,1,24,-0.92
2020-07-29,2,0,2,23,-0.84
2020-07-30,2,0,2,23,-0.84
2020-07-31,2,0,1,24,-0.92
2020-08-02,2,0,1,24,-0.92
2020-08-03,2,0,1,24,-0.92
2020-08-07,2,0,0,25,-1.0
2020-08-08,2,0,0,25,-1.0
2020-08-09,2,0,0,25,-1.0
2020-08-11,2,0,0,25,-1.0
2020-08-12,2,0,1,24,-0.92
2020-08-13,2,0,1,24,-0.92
2020-08-14,2,0,0,25,-1.0
2020-08-15,2,0,1,24,-0.92
2020-08-16,2,0,1,24,-0.92
2020-08-17,2,0,0,25,-1.0
2020-08-18,2,0,2,23,-0.84
2020-08-21,2,0,0,25,-1.0
2020-08-22,2,0,1,24,-0.92
2020-08-25,2,0,0,25,-1.0
2020-08-26,2,0,0,25,-1.0
2020-08-27,2,0,1,24,-0.92
2020-08-28,2,0,4,21,-0.68
2020-08-29,2,0,2,23,-0.84
2020-08-30,2,0,0,25,-1.0
2020-08-31,2,0,1,24,-0.92
2020-09-01,2,0,0,25,-1.0
2020-09-02,2,0,1,24,-0.92
2020-09-03,2,0,1,24,-0.92
2020-09-04,2,0,0,25,-1.0
2020-09-05,2,0,1,24,-0.92
2020-09-06,2,0,1,24,-0.92
2020-09-07,2,0,1,24,-0.92
2020-09-08,2,0,2,23,-0.84
2020-09-09,2,0,0,25,-1.0
2020-09-10,2,0,1,24,-0.92
2020-09-11,2,0,0,25,-1.0
2020-09-14,2,0,2,23,-0.84
2020-09-15,2,0,0,25,-1.0
2020-09-16,2,0,0,25,-1.0
2020-09-19,2,0,4,21,-0.68
2020-09-20,2,0,2,23,-0.84
2020-09-21,2,0,3,22,-0.76
2020-09-22,2,0,0,25,-1.0
2020-09-23,2,1,1,23,-0.88
2020-09-24,2,0,2,23,-0.84
2020-09-25,2,0,3,22,-0.76
2020-09-26,2,0,0,25,-1.0
2020-09-27,2,0,1,24,-0.92
2020-09-28,2,0,0,25,-1.0
2020-09-29,2,1,1,23,-0.88
2020-09-30,2,1,3,21,-0.72
2020-10-01,2,0,0,25,-1.0
2020-10-02,2,0,0,25,-1.0
2020-10-03,2,0,1,24,-0.92
2020-10-04,2,0,2,23,-0.84
2020-10-05,2,0,2,23,-0.84
2020-10-07,2,0,2,23,-0.84
2020-10-08,2,0,1,24,-0.92
2020-10-11,2,0,1,24,-0.92
2020-10-12,2,0,0,25,-1.0
2020-10-13,2,0,1,24,-0.92
2020-10-14,2,0,1,24,-0.92
2020-10-15,2,0,1,24,-0.92
2020-10-16,2,0,4,21,-0.68
2020-10-17,2,0,2,23,-0.84
2020-10-18,2,0,1,24,-0.92
2020-10-21,2,0,0,25,-1.0
2020-10-22,2,0,2,23,-0.84
2020-10-24,2,0,0,25,-1.0
2020-10-25,2,0,1,24,-0.92
2020-10-27,2,0,1,24,-0.92
2020-10-28,2,0,2,23,-0.84
2020-10-29,2,0,0,25,-1.0
2020-10-30,2,0,3,22,-0.76
2020-10-31,2,0,1,24,-0.92
2020-11-01,2,0,2,23,-0.84
2020-11-02,2,0,1,24,-0.92
2020-11-03,2,0,0,25,-1.0
2020-11-04,2,0,3,22,-0.76
2020-11-05,2,0,1,24,-0.92
2020-11-09,2,0,1,24,-0.92
2020-11-10,2,0,0,25,-1.0
2020-11-11,2,0,1,24,-0.92
2020-11-12,2,0,3,22,-0.76
2020-11-13,2,0,2,23,-0.84
2020-11-14,2,0,0,25,-1.0
2020-11-15,2,0,3,22,-0.76
2020-11-17,2,0,0,25,-1.0
2020-11-24,2,0,2,23,-0.84
2020-11-25,2,0,0,25,-1.0
2020-11-26,2,0,0,25,-1.0
2020-11-27,2,0,0,25,-1.0
2020-11-28,2,0,0,25,-1.0
2020-11-29,2,0,1,24,-0.92
2020-11-30,2,0,2,23,-0.84
2020-12-01,2,0,2,23,-0.84
2020-12-02,2,0,1,24,-0.92
2020-12-03,2,0,0,25,-1.0
2020-12-04,2,0,0,25,-1.0
2020-12-05,2,0,1,24,-0.92
2020-12-06,2,0,0,25,-1.0
2020-12-07,2,0,2,23,-0.84
2020-12-08,2,0,0,25,-1.0
2020-12-09,2,0,1,24,-0.92
2020-12-10,2,0,0,25,-1.0
2020-12-11,2,0,1,24,-0.92
2020-12-12,2,0,1,24,-0.92
2020-12-16,2,0,1,24,-0.92
2020-12-17,2,0,2,23,-0.84
2020-12-18,2,0,1,24,-0.92
2020-12-19,2,0,0,25,-1.0
2020-12-25,2,0,0,25,-1.0
2020-12-26,2,0,3,22,-0.76
2020-12-27,2,0,1,24,-0.92
2020-12-28,2,0,0,25,-1.0
2020-12-31,2,0,3,22,-0.76
2021-01-01,2,0,3,22,-0.76
2021-01-02,2,0,0,25,-1.0
2021-01-03,2,0,2,23,-0.84
2021-01-04,2,0,1,24,-0.92
2021-01-05,2,0,1,24,-0.92
2021-01-06,2,0,3,22,-0.76
2021-01-07,2,0,2,23,-0.84
2021-01-08,2,0,1,24,-0.92
2021-01-09,2,0,1,24,-0.92
2021-01-10,2,0,1,24,-0.92
2021-01-16,2,0,1,24,-0.92
2021-01-17,2,0,1,24,-0.92
2021-01-20,2,0,1,24,-0.92
2021-01-21,2,0,1,24,-0.92
2021-02-01,2,0,3,22,-0.76
2021-02-02,2,0,2,23,-0.84
2021-02-03,2,0,2,23,-0.84
2021-02-04,2,0,0,25,-1.0
2021-02-05,2,0,2,23,-0.84
2021-02-06,2,0,2,23,-0.84
2021-02-07,2,0,1,24,-0.92
2021-02-08,2,0,0,25,-1.0
2021-02-09,2,0,3,22,-0.76
2021-02-10,2,0,1,24,-0.92
