date,sentiment,neutral_count,positive_count,negative_count,weighted_avg
2020-01-01,2,3,0,22,-0.88
2020-01-02,2,6,0,19,-0.76
2020-01-03,2,10,0,15,-0.6
2020-01-04,2,6,0,19,-0.76
2020-01-05,2,6,0,19,-0.76
2020-01-06,2,8,0,17,-0.68
2020-01-07,2,10,0,15,-0.6
2020-01-08,2,7,0,18,-0.72
2020-01-09,2,7,0,18,-0.72
2020-01-12,2,6,0,19,-0.76
2020-01-13,2,10,0,15,-0.6
2020-01-14,2,7,1,17,-0.64
2020-01-15,2,4,0,21,-0.84
2020-01-16,2,7,0,18,-0.72
2020-01-17,2,9,0,16,-0.64
2020-01-18,2,10,0,15,-0.6
2020-01-19,2,3,1,21,-0.8
2020-01-20,2,7,0,18,-0.72
2020-01-21,2,9,0,16,-0.64
2020-01-22,2,8,0,17,-0.68
2020-01-23,2,4,0,21,-0.84
2020-01-24,2,6,0,19,-0.76
2020-01-25,2,7,0,18,-0.72
2020-01-26,0,14,1,10,-0.36
2020-01-27,2,3,1,21,-0.8
2020-01-28,2,5,0,20,-0.8
2020-01-29,2,6,0,19,-0.76
2020-01-30,2,5,0,20,-0.8
2020-01-31,2,8,0,17,-0.68
2020-02-01,2,7,0,18,-0.72
2020-02-02,2,9,0,16,-0.64
2020-02-03,2,11,0,14,-0.56
2020-02-04,2,7,0,18,-0.72
2020-02-05,2,7,0,18,-0.72
2020-02-06,2,10,0,15,-0.6
2020-02-08,2,7,0,18,-0.72
2020-02-09,2,9,0,16,-0.64
2020-02-10,2,5,1,19,-0.72
2020-02-11,2,3,0,22,-0.88
2020-02-12,2,5,0,20,-0.8
2020-02-13,2,6,0,19,-0.76
2020-02-17,2,7,1,17,-0.64
2020-02-18,2,9,0,16,-0.64
2020-02-19,2,4,0,21,-0.84
2020-02-21,2,2,1,22,-0.84
2020-02-22,2,6,1,18,-0.68
2020-02-23,2,6,0,19,-0.76
2020-02-24,2,9,0,16,-0.64
2020-02-25,2,6,0,19,-0.76
2020-02-26,2,8,0,17,-0.68
2020-02-27,2,7,0,18,-0.72
2020-02-28,2,6,0,19,-0.76
2020-02-29,2,9,0,16,-0.64
2020-03-01,2,5,1,19,-0.72
2020-03-02,2,3,0,22,-0.88
2020-03-03,2,4,2,19,-0.68
2020-03-05,2,6,0,19,-0.76
2020-03-06,2,6,1,18,-0.68
2020-03-08,2,7,0,18,-0.72
2020-03-09,2,11,1,13,-0.48
2020-03-11,2,10,0,15,-0.6
2020-03-12,2,9,0,16,-0.64
2020-03-13,2,12,0,13,-0.52
2020-03-14,2,7,0,18,-0.72
2020-03-15,2,11,0,14,-0.56
2020-03-19,2,11,0,14,-0.56
2020-03-20,2,10,0,15,-0.6
2020-03-21,2,10,0,15,-0.6
2020-03-23,2,9,0,16,-0.64
2020-03-24,2,6,0,19,-0.76
2020-03-28,2,3,0,5,-0.625
2020-03-29,2,0,0,5,-1.0
2020-03-30,2,11,0,14,-0.56
2020-03-31,2,6,0,19,-0.76
2020-04-02,2,7,2,16,-0.56
2020-04-03,2,11,1,13,-0.48
2020-04-05,2,5,0,20,-0.8
